timestamp,pressure,sonar_dist,ice_thickness
2026-03-19 18:35:00.014669895,106959.99755859376,0.883,0.21168497396740824
2026-03-19 18:35:00.058128595,106959.99755859376,0.883,0.21168497412481585
2026-03-19 18:35:00.103679657,106959.99755859376,0.883,0.21168497427469607
2026-03-19 18:35:00.145405531,106909.99755859376,0.883,0.20612680631999794
2026-03-19 18:35:00.189011812,106909.99755859376,0.883,0.2061268065216781
2026-03-19 18:35:00.273918152,106909.99755859376,0.883,0.20612680704220526
2026-03-19 18:35:00.317525387,106909.99755859376,0.883,0.206126807435912
2026-03-19 18:35:00.361400604,106909.99755859376,0.883,0.2061268075546572
2026-03-19 18:35:00.446423054,106909.99755859376,0.883,0.20612680723361607
2026-03-19 18:35:00.489733696,106909.99755859376,0.883,0.20612680671107406
2026-03-19 18:35:00.533454180,106909.99755859376,0.883,0.2061268063126748
2026-03-19 18:35:00.620151758,106909.99755859376,0.883,0.20612680648827456
2026-03-19 18:35:00.662481785,106909.99755859376,0.883,0.20612680684658966
2026-03-19 18:35:00.706922293,106909.99755859376,0.883,0.20612680714728077
2026-03-19 18:35:00.752284765,106909.99755859376,0.883,0.20612680735027736
2026-03-19 18:35:00.834285975,106909.99755859376,0.883,0.20612680695668892
2026-03-19 18:35:00.878438234,106909.99755859376,0.883,0.2061268065904049
2026-03-19 18:35:00.922259808,106909.99755859376,0.883,0.20612680609776202
2026-03-19 18:35:01.012712002,106909.99755859376,0.883,0.20612680593004243
2026-03-19 18:35:01.051340103,106909.99755859376,0.883,0.20612680618923812
2026-03-19 18:35:01.093186617,106909.99755859376,0.883,0.20612680653518686
2026-03-19 18:35:01.137403488,106909.99755859376,0.883,0.2061268066101239
2026-03-19 18:35:01.222478628,106909.99755859376,0.883,0.20612680648463408
2026-03-19 18:35:01.266351223,106909.99755859376,0.883,0.20612680652401225
2026-03-19 18:35:01.310277700,106909.99755859376,0.883,0.20612680645349563
2026-03-19 18:35:01.394816160,106909.99755859376,0.883,0.20612680644092068
2026-03-19 18:35:01.437777042,106909.99755859376,0.883,0.20612680678631873
